Duplicate : 我們  map[key]= we  value= us
Duplicate : 攜帶  map[key]= carry  value= carries
Duplicate : 電池  map[key]= battery  value= batteries
Duplicate : 混蛋  map[key]= bastard  value= assholes
Duplicate : 聽起來  map[key]= sounded  value= sounding
Duplicate : 僕人  map[key]= servant  value= servants
Duplicate : 假設  map[key]= suppose  value= presume
Duplicate : 海蒂  map[key]= hattie  value= heidi
Duplicate : 目標  map[key]= target  value= goals
Duplicate : 行  map[key]= line  value= allright
Duplicate : 允許  map[key]= allow  value= allowing
Duplicate : 承認  map[key]= admit  value= acknowledge
Duplicate : 懲罰  map[key]= punishment  value= penalty
Duplicate : 騷擾  map[key]= harassment  value= harassing
Duplicate : 致命  map[key]= deadly  value= fatal
Duplicate : 囚犯  map[key]= prisoner  value= convict
Duplicate : 精神  map[key]= spirit  value= spiritual
Duplicate : 關閉  map[key]= shut  value= shutting
Duplicate : 記錄  map[key]= record  value= recording
Duplicate : 積極  map[key]= positive  value= positively
Duplicate : 米歇爾  map[key]= michelle  value= michel
Duplicate : 該死  map[key]= goddamn  value= goddam
Duplicate : 失敗  map[key]= failed  value= failing
Duplicate : 劑量  map[key]= potion  value= dose
Duplicate : 治愈  map[key]= cure  value= cured
Duplicate : 誘人的  map[key]= inviting  value= tempting
Duplicate : 架  map[key]= rack  value= shelf
Duplicate : 操縱  map[key]= manipulate  value= rig
Duplicate : 追求  map[key]= pursue  value= pursuit
Duplicate : 擁有  map[key]= owns  value= possessed
Duplicate : 奇蹟  map[key]= miracle  value= wonders
Duplicate : 精神病  map[key]= psychotic  value= psychiatric
Duplicate : 無意義  map[key]= pointless  value= meaningless
Duplicate : 忽視  map[key]= ignore  value= ignored
Duplicate : 未婚夫  map[key]= fiancé  value= fiance
Duplicate : 職責  map[key]= responsibilities  value= duties
Duplicate : 鄙視  map[key]= despise  value= contempt
Duplicate : 妥協  map[key]= compromise  value= compromised
Duplicate : 週末  map[key]= weekend  value= weekends
Duplicate : 起訴  map[key]= sue  value= suing
Duplicate : 響應  map[key]= response  value= responding
Duplicate : 拒絕  map[key]= refuse  value= refuses
Duplicate : 噪音  map[key]= noise  value= noises
Duplicate : 海洋  map[key]= ocean  value= marine
Duplicate : 孫子  map[key]= grandson  value= grandchildren
Duplicate : 合同  map[key]= deal  value= contracts
Duplicate : 最好的  map[key]= best  value= nicest
Duplicate : 操縱  map[key]= manipulate  value= manipulated
Duplicate : 娛樂  map[key]= entertainment  value= entertaining
Duplicate : 發現  map[key]= find  value= discovery
Duplicate : 視頻  map[key]= video  value= videos
Duplicate : 標籤  map[key]= tag  value= tab
Duplicate : 花  map[key]= spend  value= spends
Duplicate : 坐在  map[key]= sitting  value= seated
Duplicate : 擦  map[key]= rub  value= rubbing
Duplicate : 拒絕  map[key]= refuse  value= reject
Duplicate : 推薦  map[key]= recommend  value= recommendation
Duplicate : 頭痛  map[key]= headache  value= headaches
Duplicate : 吉爾  map[key]= jill  value= gil
Duplicate : 擁抱  map[key]= hug  value= embrace
Duplicate : 角落  map[key]= corner  value= corners
Duplicate : 恢復  map[key]= recovery  value= restore
Duplicate : 動機  map[key]= motive  value= motives
Duplicate : 英雄  map[key]= hero  value= heroes
Duplicate : 控制  map[key]= control  value= controls
Duplicate : 木  map[key]= wood  value= wooden
Duplicate : 探索  map[key]= explore  value= quest
Duplicate : 放鬆  map[key]= relax  value= loosen
Duplicate : 信息  map[key]= message  value= info
Duplicate : 使命  map[key]= mission  value= errand
Duplicate : 蛋糕  map[key]= cake  value= cakes
Duplicate : 指責  map[key]= accusing  value= blames
Duplicate : 崇拜  map[key]= adore  value= worship
Duplicate : 理論  map[key]= theory  value= theories
Duplicate : 嚴格  map[key]= strictly  value= strict
Duplicate : 變化  map[key]= change  value= shifts
Duplicate : 通道  map[key]= channel  value= passage
Duplicate : 哥兒們  map[key]= buddies  value= pals
Duplicate : 只  map[key]= only  value= mere
Duplicate : 猶太人  map[key]= jew  value= jews
Duplicate : 干擾  map[key]= interfere  value= interference
Duplicate : 香港  map[key]= kong  value= hong
Duplicate : 熱情  map[key]= passionate  value= enthusiasm
Duplicate : 遭遇  map[key]= suffered  value= encounter
Duplicate : 藝術家  map[key]= artist  value= artists
Duplicate : 供應  map[key]= supply  value= serves
Duplicate : 工程  map[key]= project  value= projects
Duplicate : 外  map[key]= outside  value= outer
Duplicate : 具體  map[key]= specific  value= concrete
Duplicate : 風  map[key]= wind  value= winds
Duplicate : 耳語  map[key]= whispering  value= whisper
Duplicate : 破壞  map[key]= destroy  value= sabotage
Duplicate : 一月  map[key]= jan  value= january
Duplicate : 美味  map[key]= delicious  value= yummy
Duplicate : 寫  map[key]= write  value= writes
Duplicate : 有效  map[key]= effective  value= valid
Duplicate : 執行  map[key]= executive  value= performing
Duplicate : 空間  map[key]= space  value= void
Duplicate : 卡車  map[key]= truck  value= trucks
Duplicate : 酸  map[key]= acid  value= sour
Duplicate : 技能  map[key]= skills  value= skill
Duplicate : 購買  map[key]= buy  value= purchase
Duplicate : 鬆餅  map[key]= muffin  value= muffins
Duplicate : 最大  map[key]= max  value= maximum
Duplicate : 干擾  map[key]= interfere  value= interfering
Duplicate : 小說  map[key]= novel  value= fiction
Duplicate : 房屋  map[key]= houses  value= buildings
Duplicate : 冬季  map[key]= winter  value= winters
Duplicate : 貿易  map[key]= trade  value= trading
Duplicate : 陽台  map[key]= balcony  value= terrace
Duplicate : 滑雪  map[key]= ski  value= skiing
Duplicate : 關係  map[key]= relationship  value= relations
Duplicate : 優秀  map[key]= excellent  value= outstanding
Duplicate : 意見  map[key]= opinion  value= opinions
Duplicate : 內華達  map[key]= sierra  value= nevada
Duplicate : 項目  map[key]= item  value= items
Duplicate : 檢查  map[key]= checked  value= examined
Duplicate : 消失  map[key]= disappeared  value= disappearing
Duplicate : 幫助  map[key]= helped  value= assist
Duplicate : 管理  map[key]= manage  value= administration
Duplicate : 沃爾特  map[key]= walter  value= walt
Duplicate : 緊張  map[key]= nervous  value= uptight
Duplicate : 可怕  map[key]= terrible  value= terrifying
Duplicate : 沼澤  map[key]= marsh  value= swamp
Duplicate : 拒絕  map[key]= refuse  value= rejection
Duplicate : 實現  map[key]= realize  value= realizing
Duplicate : 陽光  map[key]= sunshine  value= rays
Duplicate : 懷疑  map[key]= wonder  value= doubted
Duplicate : 騙局  map[key]= scam  value= deception
Duplicate : 關鍵  map[key]= key  value= crucial
Duplicate : 室  map[key]= room  value= chambers
Duplicate : 概念  map[key]= concept  value= notion
Duplicate : 注定  map[key]= doomed  value= destined
Duplicate : 胸部  map[key]= chest  value= boobs
Duplicate : 漫步  map[key]= walks  value= wander
Duplicate : 求  map[key]= beg  value= seeking
Duplicate : 退休  map[key]= retirement  value= retire
Duplicate : 繪畫  map[key]= painting  value= paintings
Duplicate : 裸體  map[key]= naked  value= nude
Duplicate : 持續  map[key]= lasted  value= lasts
Duplicate : 冰箱  map[key]= fridge  value= freezer
Duplicate : 小丑  map[key]= clown  value= clowns
Duplicate : 恐怖分子  map[key]= terrorists  value= terrorist
Duplicate : 故事  map[key]= story  value= tales
Duplicate : 臭  map[key]= stink  value= stinking
Duplicate : 蛇  map[key]= snake  value= snakes
Duplicate : 會議  map[key]= meeting  value= sessions
Duplicate : 解析  map[key]= resolve  value= resolved
Duplicate : 遠程  map[key]= remote  value= remotely
Duplicate : 協議  map[key]= agreement  value= protocol
Duplicate : 繩  map[key]= rope  value= cord
Duplicate : 制服  map[key]= uniform  value= uniforms
Duplicate : 巨大  map[key]= huge  value= tremendous
Duplicate : 行業  map[key]= industry  value= profession
Duplicate : 肺  map[key]= lungs  value= lung
Duplicate : 最大  map[key]= max  value= largest
Duplicate : 感覺  map[key]= feel  value= feelin
Duplicate : 專家  map[key]= expert  value= experts
Duplicate : 鼓勵  map[key]= encourage  value= encouraged
Duplicate : 鄧肯  map[key]= timmy  value= duncan
Duplicate : 持續  map[key]= lasted  value= continued
Duplicate : 氣球  map[key]= balloon  value= balloons
Duplicate : 廣告  map[key]= ad  value= advertising
Duplicate : 廣告  map[key]= ad  value= ads
Duplicate : 代表  map[key]= represent  value= represents
Duplicate : 實際  map[key]= actual  value= realistic
Duplicate : 利潤  map[key]= profit  value= profits
Duplicate : 短褲  map[key]= shorts  value= panties
Duplicate : 蓋  map[key]= cover  value= lid
Duplicate : 一樣  map[key]= alike  value= equally
Duplicate : 安慰  map[key]= comfort  value= consolation
Duplicate : 冠軍  map[key]= champion  value= champ
Duplicate : 胡說  map[key]= blah  value= babbling
Duplicate : 老  map[key]= old  value= aged
Duplicate : 尖  map[key]= tip  value= tipped
Duplicate : 更換  map[key]= replace  value= replacement
Duplicate : 重複  map[key]= repeat  value= repeating
Duplicate : 噓  map[key]= uhh  value= psst
Duplicate : 薪水  map[key]= salary  value= paycheck
Duplicate : 反應過度  map[key]= overreacting  value= overreacted
Duplicate : 領導  map[key]= lead  value= leadership
Duplicate : 圖片  map[key]= picture  value= images
Duplicate : 鴨  map[key]= duck  value= drake
Duplicate : 袖口  map[key]= cuff  value= cuffs
Duplicate : 同意  map[key]= agree  value= consent
Duplicate : 同意  map[key]= agree  value= agrees
Duplicate : 消失  map[key]= disappeared  value= vanished
Duplicate : 堆  map[key]= pile  value= stack
Duplicate : 費  map[key]= fee  value= expenses
Duplicate : 晚餐  map[key]= dinner  value= dinners
Duplicate : 同事  map[key]= colleagues  value= colleague
Duplicate : 律師  map[key]= lawyer  value= attorneys
Duplicate : 戰爭  map[key]= war  value= wars
Duplicate : 訪問  map[key]= visit  value= visits
Duplicate : 中毒  map[key]= poisoned  value= poisoning
Duplicate : 丈夫  map[key]= husband  value= husbands
Duplicate : 腳跟  map[key]= heels  value= heel
Duplicate : 爺爺  map[key]= grandfather  value= granddad
Duplicate : 交付  map[key]= deliver  value= delivering
Duplicate : 死亡  map[key]= death  value= deaths
Duplicate : 崔西  map[key]= traci  value= trish
Duplicate : 比賽  map[key]= match  value= tournament
Duplicate : 價格  map[key]= price  value= prices
Duplicate : 針  map[key]= pin  value= needles
Duplicate : 領導者  map[key]= leader  value= leaders
Duplicate : 法官  map[key]= judge  value= judges
Duplicate : 戰鬥  map[key]= fight  value= battles
Duplicate : 大約  map[key]= about  value= approximately
Duplicate : 約會  map[key]= dating  value= appointments
Duplicate : 實現  map[key]= realize  value= achieve
Duplicate : 蔬菜  map[key]= vegetable  value= vegetables
Duplicate : 原則  map[key]= principle  value= principles
Duplicate : 完美  map[key]= perfect  value= perfection
Duplicate : 媽媽  map[key]= mom  value= momma
Duplicate : 林恩  map[key]= lynne  value= lynn
Duplicate : 頭髮  map[key]= hair  value= hairs
Duplicate : 德國  map[key]= german  value= germany
Duplicate : 邊緣  map[key]= edge  value= verge
Duplicate : 強硬  map[key]= tough  value= tougher
Duplicate : 竊聽  map[key]= bugging  value= tapped
Duplicate : 賭注  map[key]= bet  value= stakes
Duplicate : 半  map[key]= partly  value= semi
Duplicate : 危害  map[key]= harm  value= jeopardize
Duplicate : 檢查  map[key]= checked  value= examination
Duplicate : 城市  map[key]= city  value= cities
Duplicate : 投標  map[key]= bid  value= bidding
Duplicate : 到達  map[key]= reach  value= arriving
Duplicate : 添加  map[key]= add  value= adding
Duplicate : 導師  map[key]= mentor  value= tutor
Duplicate : 短  map[key]= short  value= shorter
Duplicate : 方法  map[key]= method  value= methods
Duplicate : 餌  map[key]= bait  value= lure
Duplicate : 驢  map[key]= asses  value= jackass
Duplicate : 機密  map[key]= confidential  value= classified
Duplicate : 炸彈  map[key]= bomb  value= bombs
Duplicate : 美麗  map[key]= beautiful  value= beautifully
Duplicate : 逮捕  map[key]= arrest  value= arresting
Duplicate : 粉碎  map[key]= crush  value= smash
Duplicate : 出租  map[key]= letting  value= rental
Duplicate : 妓女  map[key]= whore  value= prostitute
Duplicate : 溫和  map[key]= gentle  value= mild
Duplicate : 跳躍  map[key]= skip  value= jumps
Duplicate : 發展  map[key]= development  value= developing
Duplicate : 親愛的  map[key]= beloved  value= darlin
Duplicate : 撞  map[key]= hit  value= banging
Duplicate : 蠕蟲  map[key]= worm  value= worms
Duplicate : 違反  map[key]= violation  value= violated
Duplicate : 創傷  map[key]= trauma  value= traumatic
Duplicate : 追踪  map[key]= tracking  value= traced
Duplicate : 拖車  map[key]= trailer  value= tow
Duplicate : 推薦  map[key]= recommend  value= recommended
Duplicate : 塊  map[key]= block  value= chunk
Duplicate : 噢  map[key]= whew  value= awww
Duplicate : 反應  map[key]= reaction  value= reacted
Duplicate : 介紹  map[key]= introduce  value= presented
Duplicate : 倒  map[key]= pour  value= poured
Duplicate : 媽媽  map[key]= mom  value= moms
Duplicate : 婚姻  map[key]= marriage  value= marriages
Duplicate : 投資  map[key]= investment  value= invested
Duplicate : 少數  map[key]= few  value= handful
Duplicate : 消失  map[key]= disappeared  value= disappears
Duplicate : 分裂  map[key]= split  value= splitting
Duplicate : 穩定  map[key]= stable  value= settling
Duplicate : 科學家  map[key]= scientist  value= scientists
Duplicate : 用途  map[key]= uses  value= purposes
Duplicate : 抓  map[key]= catch  value= grabbing
Duplicate : 持續  map[key]= lasted  value= sustained
Duplicate : 記錄  map[key]= record  value= recorded
Duplicate : 涉及  map[key]= involve  value= involving
Duplicate : 可怕  map[key]= terrible  value= dreadful
Duplicate : 確認  map[key]= confirm  value= confirmation
Duplicate : 讚賞  map[key]= appreciated  value= appreciates
Duplicate : 公佈  map[key]= announce  value= announced
Duplicate : 模糊  map[key]= fuzzy  value= vague
Duplicate : 輪胎  map[key]= tire  value= tires
Duplicate : 壓力  map[key]= pressure  value= stressful
Duplicate : 藏  map[key]= hiding  value= stashed
Duplicate : 藏  map[key]= hiding  value= stash
Duplicate : 預測  map[key]= predict  value= predictable
Duplicate : 大廳  map[key]= hall  value= halls
Duplicate : 白痴  map[key]= idiot  value= dork
Duplicate : 品種  map[key]= variety  value= breed
Duplicate : 犧牲  map[key]= sacrifice  value= sacrificed
Duplicate : 放鬆  map[key]= relax  value= relaxing
Duplicate : 輸入  map[key]= entry  value= input
Duplicate : 完成  map[key]= complete  value= completed
Duplicate : 混合  map[key]= mix  value= blend
Duplicate : 職位  map[key]= post  value= positions
Duplicate : 模式  map[key]= pattern  value= mode
Duplicate : 歡樂  map[key]= joy  value= jolly
Duplicate : 歡迎  map[key]= welcome  value= greeting
Duplicate : 克  map[key]= grams  value= gram
Duplicate : 金融  map[key]= financial  value= finance
Duplicate : 夢想  map[key]= dreamed  value= dreamt
Duplicate : 聲明  map[key]= statement  value= declared
Duplicate : 自行車  map[key]= bike  value= bicycle
Duplicate : 同意  map[key]= agree  value= agreeing
Duplicate : 作家  map[key]= writer  value= writers
Duplicate : 高  map[key]= high  value= taller
Duplicate : 犧牲  map[key]= sacrifice  value= sacrifices
Duplicate : 皮特  map[key]= pete  value= pitt
Duplicate : 結果  map[key]= results  value= outcome
Duplicate : 盎司  map[key]= oz  value= ounce
Duplicate : 導彈  map[key]= missiles  value= missile
Duplicate : 大  map[key]= big  value= gran
Duplicate : 實驗  map[key]= experiment  value= experiments
Duplicate : 便利  map[key]= handy  value= convenience
Duplicate : 挑戰  map[key]= challenge  value= challenged
Duplicate : 痛苦  map[key]= suffering  value= agony
Duplicate : 崇拜  map[key]= adore  value= adores
Duplicate : 奇怪  map[key]= strange  value= strangely
Duplicate : 建議  map[key]= suggest  value= proposing
Duplicate : 行軍  map[key]= march  value= marching
Duplicate : 爭論  map[key]= argue  value= hassle
Duplicate : 昂貴  map[key]= expensive  value= dearly
Duplicate : 意見  map[key]= opinion  value= comments
Duplicate : 關閉  map[key]= shut  value= closure
Duplicate : 停止  map[key]= stop  value= cease
Duplicate : 臭  map[key]= stink  value= stinky
Duplicate : 強制  map[key]= enforcement  value= jus
Duplicate : 忠誠  map[key]= loyal  value= devotion
Duplicate : 決定  map[key]= decided  value= deciding
Duplicate : 舒適  map[key]= cozy  value= comfy
Duplicate : 備用  map[key]= spare  value= alternate
Duplicate : 交換  map[key]= exchange  value= switching
Duplicate : 尖叫  map[key]= screaming  value= screamed
Duplicate : 疤痕  map[key]= scar  value= scars
Duplicate : 俄羅斯  map[key]= russia  value= russians
Duplicate : 人  map[key]= people  value= persons
Duplicate : 損失  map[key]= loss  value= losses
Duplicate : 投資  map[key]= investment  value= invest
Duplicate : 代  map[key]= generation  value= generations
Duplicate : 文明  map[key]= civilization  value= civilized
Duplicate : 冠軍  map[key]= champion  value= championship
Duplicate : 趨向  map[key]= tend  value= tends
Duplicate : 流  map[key]= ow  value= stream
Duplicate : 響  map[key]= loud  value= rang
Duplicate : 嚇壞  map[key]= freaked  value= psyched
Duplicate : 總統  map[key]= president  value= presidential
Duplicate : 業主  map[key]= owner  value= owners
Duplicate : 對象  map[key]= object  value= objects
Duplicate : 動機  map[key]= motive  value= motivated
Duplicate : 土地  map[key]= earth  value= lands
Duplicate : 發動機  map[key]= engine  value= engines
Duplicate : 咀嚼  map[key]= chew  value= chewing
Duplicate : 剎車  map[key]= brakes  value= brake
Duplicate : 接受  map[key]= accept  value= acceptable
Duplicate : 令人難以置信  map[key]= incredibly  value= unbelievably
Duplicate : 聞  map[key]= smell  value= smelling
Duplicate : 尺寸  map[key]= size  value= sized
Duplicate : 簡單  map[key]= simple  value= simpler
Duplicate : 註冊  map[key]= registered  value= registration
Duplicate : 乘客  map[key]= passenger  value= passengers
Duplicate : 器官  map[key]= organs  value= organ
Duplicate : 偶然  map[key]= accidentally  value= occasional
Duplicate : 跡象  map[key]= sign  value= indication
Duplicate : 霍頓  map[key]= holden  value= horton
Duplicate : 感傷  map[key]= sentimental  value= goo
Duplicate : 完成  map[key]= complete  value= fulfill
Duplicate : 鏈  map[key]= chain  value= chains
Duplicate : 祝福  map[key]= wishes  value= blessings
Duplicate : 樂隊  map[key]= band  value= bands
Duplicate : 建議  map[key]= suggest  value= advised
Duplicate : 威利  map[key]= willie  value= willy
Duplicate : 單  map[key]= single  value= slips
Duplicate : 噗  map[key]= poof  value= puff
Duplicate : 瑪麗安  map[key]= marian  value= marianne
Duplicate : 鎖定  map[key]= locked  value= locking
Duplicate : 無情  map[key]= ruthless  value= heartless
Duplicate : 注意  map[key]= attention  value= noted
Duplicate : 人類  map[key]= humans  value= mankind
Duplicate : 調情  map[key]= flirting  value= flirt
Duplicate : 延遲  map[key]= delay  value= delayed
Duplicate : 十年  map[key]= decades  value= decade
Duplicate : 棺材  map[key]= coffin  value= casket
Duplicate : 經紀人  map[key]= agent  value= broker
Duplicate : 綁架  map[key]= kidnapped  value= abducted
Duplicate : 巨人  map[key]= giant  value= titan
Duplicate : 線  map[key]= line2  value= thread
Duplicate : 臭  map[key]= stink  value= smelly
Duplicate : 鯊魚  map[key]= shark  value= sharks
Duplicate : 最新  map[key]= latest  value= newest
Duplicate : 謀殺  map[key]= murder  value= murdering
Duplicate : 高度  map[key]= highly  value= heights
Duplicate : 爺爺  map[key]= grandfather  value= grampa
Duplicate : 尿布  map[key]= diapers  value= diaper
Duplicate : 魅力  map[key]= charm  value= charms
Duplicate : 會計  map[key]= accountant  value= accounting
Duplicate : 參考  map[key]= reference  value= references
Duplicate : 說服  map[key]= convince  value= persuade
Duplicate : 操縱  map[key]= manipulate  value= manipulating
Duplicate : 善良  map[key]= goodness  value= hearted
Duplicate : 保證  map[key]= guarantee  value= guarantees
Duplicate : 飛行  map[key]= flight  value= flown
Duplicate : 範圍  map[key]= range  value= extent
Duplicate : 恥辱  map[key]= shame  value= disgrace
Duplicate : 決心  map[key]= determined  value= determination
Duplicate : 能力  map[key]= ability  value= abilities
Duplicate : 教  map[key]= teach  value= teaches
Duplicate : 明智的  map[key]= sane  value= sensible
Duplicate : 懲罰  map[key]= punishment  value= punishing
Duplicate : 沉迷  map[key]= addicted  value= obsessing
Duplicate : 通知  map[key]= notice  value= notify
Duplicate : 危險  map[key]= dangerous  value= jeopardy
Duplicate : 不同  map[key]= different  value= distinct
Duplicate : 導演  map[key]= director  value= directed
Duplicate : 慾望  map[key]= desire  value= desires
Duplicate : 信任  map[key]= trust  value= confide
Duplicate : 改變  map[key]= changing  value= alter
Duplicate : 冒險  map[key]= adventure  value= venture
Duplicate : 主題  map[key]= subject  value= subjects
Duplicate : 漫步  map[key]= walks  value= stroll
Duplicate : 坐在  map[key]= sitting  value= sittin
Duplicate : 海報  map[key]= poster  value= posters
Duplicate : 軌道  map[key]= track  value= orbit
Duplicate : 修女  map[key]= nun  value= nuns
Duplicate : 北方  map[key]= north  value= northern
Duplicate : 親密  map[key]= intimate  value= intimacy
Duplicate : 遺產  map[key]= legacy  value= inheritance
Duplicate : 失敗  map[key]= failed  value= fails
Duplicate : 爆炸  map[key]= explosion  value= exploded
Duplicate : 絕望  map[key]= hopeless  value= despair
Duplicate : 辯護  map[key]= defend  value= defended
Duplicate : 餅乾  map[key]= cookie  value= crackers
Duplicate : 廣告  map[key]= ad  value= commercials
Duplicate : 素描  map[key]= sketch  value= sketches
Duplicate : 絕對  map[key]= absolutely  value= sheer
Duplicate : 刮  map[key]= scratch  value= shaving
Duplicate : 起訴  map[key]= sue  value= prosecute
Duplicate : 發狂  map[key]= madly  value= loony
Duplicate : 厄運  map[key]= doom  value= jinx
Duplicate : 吸引  map[key]= attracted  value= attract
Duplicate : 等待  map[key]= wait  value= waits
Duplicate : 反應  map[key]= reaction  value= reacting
Duplicate : 追求  map[key]= pursue  value= pursuing
Duplicate : 抵押  map[key]= pledge  value= mortgage
Duplicate : 記者  map[key]= reporter  value= journalist
Duplicate : 榮譽  map[key]= honor  value= honors
Duplicate : 基因  map[key]= gene  value= genes
Duplicate : 查  map[key]= check  value= cheque
Duplicate : 貨物  map[key]= goods  value= cargo
Duplicate : 廢墟  map[key]= ruin  value= ruins
Duplicate : 辭職  map[key]= resignation  value= resign
Duplicate : 實現  map[key]= realize  value= realised
Duplicate : 派對  map[key]= parties  value= partying
Duplicate : 堅持  map[key]= stuck  value= insisting
Duplicate : 發光  map[key]= glow  value= glowing
Duplicate : 可愛  map[key]= cute  value= cutie
Duplicate : 面對  map[key]= face  value= confronted
Duplicate : 襯衫  map[key]= shirt  value= blouse
Duplicate : 分析  map[key]= analysis  value= analyze
Duplicate : 對  map[key]= couple  value= unto
Duplicate : 收費  map[key]= charge  value= toll
Duplicate : 室友  map[key]= roommate  value= roommates
Duplicate : 計劃  map[key]= plan  value= programs
Duplicate : 下午  map[key]= afternoon  value= pm
Duplicate : 平  map[key]= flat  value= ping
Duplicate : 刀  map[key]= knife  value= knives
Duplicate : 親屬  map[key]= relatives  value= kin
Duplicate : 遺傳  map[key]= genetic  value= inherited
Duplicate : 該死  map[key]= goddamn  value= goddammit
Duplicate : 兄弟會  map[key]= fraternity  value= frat
Duplicate : 中心  map[key]= center  value= centered
Duplicate : 勒索  map[key]= blackmail  value= blackmailed
Duplicate : 允許  map[key]= allow  value= allows
Duplicate : 諷刺  map[key]= irony  value= sarcastic
Duplicate : 海盜  map[key]= pirate  value= pirates
Duplicate : 釘  map[key]= nail  value= pinned
Duplicate : 服裝  map[key]= dress  value= outfits
Duplicate : 活著  map[key]= alive  value= livin
Duplicate : 頭髮  map[key]= hair  value= haired
Duplicate : 炸藥  map[key]= explosives  value= dynamite
Duplicate : 慎重  map[key]= caution  value= discreet
Duplicate : 餅乾  map[key]= cookie  value= cracker
Duplicate : 周到  map[key]= thoughtful  value= considerate
Duplicate : 餐飲  map[key]= dining  value= catering
Duplicate : 隧道  map[key]= tunnel  value= tunnels
Duplicate : 坦克  map[key]= tank  value= tanks
Duplicate : 針  map[key]= pin  value= stitches
Duplicate : 寵物  map[key]= pet  value= pets
Duplicate : 路徑  map[key]= path  value= paths
Duplicate : 墊  map[key]= pad  value= mat
Duplicate : 長度  map[key]= length  value= lengths
Duplicate : 跳水  map[key]= dive  value= diving
Duplicate : 放  map[key]= put  value= discharge
Duplicate : 自動  map[key]= automatically  value= automatic
Duplicate : 漂亮  map[key]= pretty  value= prettier
Duplicate : 詩  map[key]= poetry  value= poems
Duplicate : 主要  map[key]= major  value= mainly
Duplicate : 獅子  map[key]= lion  value= lions
Duplicate : 樂觀  map[key]= optimistic  value= hopeful
Duplicate : 弗朗西斯  map[key]= francesca  value= francis
Duplicate : 竊聽  map[key]= bugging  value= eavesdropping
Duplicate : 可愛  map[key]= cute  value= cutest
Duplicate : 避孕套  map[key]= condoms  value= condom
Duplicate : 伴侶  map[key]= mate  value= companion
Duplicate : 貝拉  map[key]= bella  value= bela
Duplicate : 行為  map[key]= behavior  value= behaving
Duplicate : 避免  map[key]= avoid  value= avoided
Duplicate : 鍛煉  map[key]= exercise  value= workout
Duplicate : 而  map[key]= while  value= whereas
Duplicate : 個性  map[key]= personality  value= personalities
Duplicate : 金  map[key]= gold  value= payments
Duplicate : 婚姻  map[key]= marriage  value= marital
Duplicate : 內部  map[key]= internal  value= interior
Duplicate : 問候  map[key]= regards  value= greetings
Duplicate : 優雅  map[key]= classy  value= elegant
Duplicate : 證書  map[key]= certificate  value= credentials
Duplicate : 崩潰  map[key]= crashing  value= collapse
Duplicate : 布  map[key]= fabric  value= cloth
Duplicate : 切碎  map[key]= shred  value= chopped
Duplicate : 挑戰  map[key]= challenge  value= challenges
Duplicate : 新娘  map[key]= bride  value= bridal
Duplicate : 板  map[key]= board  value= boards
Duplicate : 保姆  map[key]= nanny  value= babysitting
Duplicate : 合法  map[key]= legitimate  value= authorized
Duplicate : 假設  map[key]= suppose  value= assumption
Duplicate : 廣闊  map[key]= broad  value= vast
Duplicate : 地獄  map[key]= hell  value= underworld
Duplicate : 勾引  map[key]= seduce  value= tempt
Duplicate : 標籤  map[key]= tag  value= tabs
Duplicate : 保密  map[key]= confidentiality  value= secrecy
Duplicate : 不安  map[key]= disturbed  value= restless
Duplicate : 混亂  map[key]= chaos  value= messes
Duplicate : 崩潰  map[key]= crashing  value= meltdown
Duplicate : 珍妮  map[key]= jenny  value= jeanne
Duplicate : 來  map[key]= come  value= incoming
Duplicate : 資金  map[key]= funds  value= funding
Duplicate : 集  map[key]= set  value= episodes
Duplicate : 集  map[key]= set  value= collected
Duplicate : 崇拜  map[key]= adore  value= admired
Duplicate : 調整  map[key]= adjust  value= adjustment
Duplicate : 驗收  map[key]= accepting  value= acceptance
Duplicate : 熱情  map[key]= passionate  value= warmth
Duplicate : 喉嚨  map[key]= throat  value= throats
Duplicate : 滑  map[key]= slip  value= slippery
Duplicate : 誘惑  map[key]= tempted  value= seduced
Duplicate : 調查  map[key]= investigation  value= poll
Duplicate : 鼻子  map[key]= nose  value= noses
Duplicate : 移動  map[key]= moving  value= mobile
Duplicate : 幸運  map[key]= lucky  value= luckiest
Duplicate : 墓地  map[key]= cemetery  value= graveyard
Duplicate : 天才  map[key]= genius  value= gifted
Duplicate : 步伐  map[key]= pace  value= footsteps
Duplicate : 公牛  map[key]= bull  value= bulls
Duplicate : 結婚  map[key]= marry  value= wedded
Duplicate : 志願者  map[key]= volunteer  value= volunteers
Duplicate : 調整  map[key]= adjust  value= tuned
Duplicate : 勝利  map[key]= winning  value= triumph
Duplicate : 郵票  map[key]= stamp  value= stamps
Duplicate : 下沉  map[key]= sink  value= sinking
Duplicate : 區域  map[key]= area  value= region
Duplicate : 必要  map[key]= necessary  value= essential
Duplicate : 舞蹈  map[key]= dance  value= dances
Duplicate : 習慣  map[key]= habit  value= custom
Duplicate : 創作  map[key]= creations  value= creation
Duplicate : 司機  map[key]= driver  value= chauffeur
Duplicate : 竊聽  map[key]= bugging  value= bugged
Duplicate : 管  map[key]= pipe  value= tubes
Duplicate : 誘惑  map[key]= tempted  value= temptation
Duplicate : 支持  map[key]= support  value= supported
Duplicate : 奇怪  map[key]= strange  value= strangest
Duplicate : 選擇  map[key]= choice  value= selection
Duplicate : 諷刺  map[key]= irony  value= sarcasm
